ASX Code,Security Group Code,Issuer Full Name,Product Description,Last Price($),Business Date,Year
ARC,EQY,AUSTRALIAN RURAL CAPITAL LIMITED                            ,ORDINARY            ,0.5,20170622,2017
ARD,EQY,ARGENT MINERALS LIMITED                                     ,ORDINARY            ,0.032,20170630,2017
ARE,EQY,ARGONAUT RESOURCES NL                                       ,ORDINARY            ,0.007,20170630,2017
ARF,EQY,ARENA REIT.                                                 ,STAPLED             ,2.25,20170630,2017
ARG,EQY,ARGO INVESTMENTS LIMITED                                    ,ORDINARY            ,7.67,20170630,2017
ARH,EQY,AUSTRALASIAN RESOURCES LIMITED                              ,ORDINARY            ,0.005,20150925,2017
ARI,EQY,ARRIUM LIMITED                                              ,ORDINARY            ,0.022,20160401,2017
ARL,EQY,ARDEA RESOURCES LIMITED                                     ,ORDINARY            ,0.58,20170630,2017
ARM,EQY,AURORA MINERALS LIMITED                                     ,ORDINARY            ,0.044,20170630,2017
ARO,EQY,ASTRO RESOURCES NL                                          ,ORDINARY            ,0.002,20170630,2017
ARS,EQY,ALT RESOURCES LIMITED                                       ,ORDINARY            ,0.05,20170629,2017
ARU,EQY,ARAFURA RESOURCES LIMITED                                   ,ORDINARY            ,0.056,20170630,2017
ARV,EQY,ARTEMIS RESOURCES LIMITED                                   ,ORDINARY            ,0.069,20170630,2017
ARX,EQY,ARC EXPLORATION LIMITED                                     ,ORDINARY            ,0.515,20170630,2017
ASB,EQY,AUSTAL LIMITED                                              ,ORDINARY            ,1.83,20170630,2017
ASG,EQY,AUTOSPORTS GROUP LIMITED.                                   ,ORDINARY            ,2.09,20170630,2017
ASH,EQY,ASHLEY SERVICES GROUP LIMITED                               ,ORDINARY            ,0.064,20170629,2017
ASL,EQY,AUSDRILL LIMITED                                            ,ORDINARY            ,1.835,20170630,2017
ASN,EQY,ANSON RESOURCES LIMITED                                     ,ORDINARY            ,0.02,20170630,2017
ASP,EQY,ASPERMONT LIMITED.                                          ,ORDINARY            ,0.01,20170630,2017
AST,EQY,AUSNET SERVICES LIMITED                                     ,ORDINARY            ,1.735,20170630,2017
ASW,EQY,ADVANCED SHARE REGISTRY LIMITED                             ,ORDINARY            ,0.74,20170628,2017
ASX,EQY,ASX LIMITED                                                 ,ORDINARY            ,53.61,20170630,2017
ASY,EQY,ASSEMBLEBAY LIMITED                                         ,ORDINARY            ,0.019,20170331,2017
ATA,EQY,ATC ALLOYS LTD                                              ,ORDINARY            ,0.025,20160830,2017
ATC,EQY,ALTECH CHEMICALS LTD                                        ,ORDINARY            ,0.105,20170630,2017
ATL,EQY,APOLLO TOURISM & LEISURE LTD                                ,ORDINARY            ,1.495,20170630,2017
ATM,EQY,ANEKA TAMBANG (PERSERO) TBK (PT)                            ,CDI  1:5            ,0.63,20170525,2017
ATP,EQY,ATLAS PEARLS AND PERFUMES LTD                               ,ORDINARY            ,0.026,20170630,2017
ATR,EQY,ASTRON CORPORATION LIMITED                                  ,CDI 1:1             ,0.155,20170630,2017
ATS,EQY,AUSTRALIS OIL & GAS LIMITED                                 ,ORDINARY            ,0.245,20170630,2017
ATT,EQY,ANTE REAL ESTATE TRUST                                      ,UNIT                ,0.012,20170628,2017
ATU,EQY,ATRUM COAL LIMITED                                          ,ORDINARY            ,0.22,20170630,2017
AU1,EQY,AUSNET FINANCIAL SERVICES LIMITED                           ,ORDINARY            ,0.023,20170630,2017
AUB,EQY,AUB GROUP LIMITED                                           ,ORDINARY            ,12.99,20170630,2017
AUC,EQY,AUSGOLD LIMITED                                             ,ORDINARY            ,0.025,20170630,2017
AUDS,EQY,BETASHARES STRONG AUSTRALIAN DOLLAR FUND (HEDGE FUND)       ,TMF UNITS           ,15.98,20170629,2017
AUF,EQY,ASIAN MASTERS FUND LIMITED                                  ,ORDINARY            ,1.31,20170630,2017
AUI,EQY,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED                ,ORDINARY            ,8.09,20170630,2017
AUMF,EQY,ISHARES EDGE MSCI AUSTRALIA MULTIFACTOR ETF                 ,ETF UNITS           ,26.89,20170630,2017
AUP,EQY,AURORA PROPERTY BUY-WRITE INCOME TRUST                      ,ORDINARY UNITS      ,4.3,20170630,2017
AUQ,EQY,ALARA RESOURCES LIMITED                                     ,ORDINARY            ,0.014,20170629,2017
AUR,EQY,AURIS MINERALS LIMITED                                      ,ORDINARY            ,0.057,20170630,2017
AUST,EQY,BETASHARES MANAGED RISK AUSTRALIAN SHARE FUND               ,TMF UNITS           ,15.61,20170630,2017
AUZ,EQY,AUSTRALIAN MINES LIMITED                                    ,ORDINARY            ,0.015,20170630,2017
AVB,EQY,AVANCO RESOURCES LIMITED                                    ,ORDINARY            ,0.094,20170630,2017
AVD,EQY,ANTILLES OIL AND GAS NL                                     ,ORDINARY            ,0.015,20170630,2017
AVG,EQY,AUSTRALIAN VINTAGE LTD                                      ,ORDINARY            ,0.425,20170630,2017
AVH,EQY,AVITA MEDICAL LTD                                           ,ORDINARY            ,0.077,20170630,2017
AVI,EQY,AVALON MINERALS LIMITED                                     ,ORDINARY            ,0.015,20170630,2017
AVJ,EQY,AVJENNINGS LIMITED                                          ,ORDINARY            ,0.655,20170630,2017
AVL,EQY,AUSTRALIAN VANADIUM LIMITED                                 ,ORDINARY            ,0.017,20170630,2017
AVN,EQY,AVENTUS RETAIL PROPERTY FUND                                ,UNIT                ,2.3,20170630,2017
AVQ,EQY,AXIOM MINING LIMITED                                        ,CHESS DEPOSITARY INT,0.16,20170630,2017
AVW,EQY,AVIRA ENERGY LIMITED                                        ,ORDINARY            ,0.25,20170214,2017
AVZ,EQY,AVZ MINERALS LIMITED                                        ,ORDINARY            ,0.035,20170630,2017
